amostra,valor_real,valor_predito,valor_predito_corrigido
amostra_0574_2877.73.csv,2877.73,2722.311,2669.2664
amostra_0588_2769.21.csv,2769.21,2636.7036,2590.9932
amostra_0591_1734.98.csv,1734.98,1609.4165,1641.1583
amostra_0594_2304.55.csv,2304.55,2362.7605,2339.6094
amostra_0596_3012.89.csv,3012.89,3030.497,2949.9292
amostra_0598_2806.34.csv,2806.34,2756.5537,2700.5376
amostra_0601_3466.01.csv,3466.01,3818.084,3659.21
amostra_0602_3805.52.csv,3805.52,3800.9624,3643.9126
amostra_0604_3117.84.csv,3117.84,3133.2258,3043.0938
amostra_0613_1363.21.csv,1363.21,1352.5947,1400.6544
amostra_0621_2901.06.csv,2901.06,2653.8252,2606.6587
amostra_0625_2995.38.csv,2995.38,3201.7117,3105.0952
amostra_0634_2937.63.csv,2937.63,2842.1611,2778.6213
amostra_0636_1580.53.csv,1580.53,1626.538,1657.1486
amostra_0637_1206.96.csv,1206.96,1249.866,1304.1117
amostra_0643_2790.42.csv,2790.42,2927.7683,2856.5698
amostra_0647_1675.18.csv,1675.18,1677.9023,1705.0869
amostra_0652_2231.13.csv,2231.13,2397.0034,2371.1082
amostra_0653_2029.21.csv,2029.21,2088.8171,2086.8398
amostra_0654_1620.66.csv,1620.66,1575.1736,1609.1615
amostra_0655_1258.64.csv,1258.64,1181.3802,1239.6418
amostra_0657_2206.37.csv,2206.37,2157.303,2150.162
amostra_0671_3645.38.csv,3645.38,3663.9907,3521.3389
amostra_0674_918.87.csv,918.87,787.5868,867.25824
amostra_0678_2912.56.csv,2912.56,3081.8613,2996.5356
amostra_0683_2546.07.csv,2546.07,2516.8535,2481.183
amostra_0687_1072.09.csv,1072.09,1027.2871,1094.2676
amostra_0699_3131.02.csv,3131.02,3098.983,3012.0603
amostra_0703_1737.04.csv,1737.04,1695.0238,1721.0557
amostra_0707_2677.72.csv,2677.72,2482.6106,2449.7603
amostra_0715_1765.46.csv,1765.46,1849.1168,1864.5297
amostra_0718_1544.17.csv,1544.17,1592.295,1625.1625
amostra_0720_2368.81.csv,2368.81,2619.5823,2575.322
amostra_0724_2490.22.csv,2490.22,2551.0964,2512.5847
amostra_0731_1551.83.csv,1551.83,1438.202,1480.9578
amostra_0736_1824.46.csv,1824.46,1849.1168,1864.5297
amostra_0745_1379.46.csv,1379.46,1455.3235,1497.0021
amostra_0747_2185.45.csv,2185.45,2054.5742,2055.146
amostra_0749_1835.44.csv,1835.44,1763.5096,1784.876
amostra_0752_2330.02.csv,2330.02,2362.7605,2339.6094
amostra_0754_1452.09.csv,1452.09,1438.202,1480.9578
amostra_0759_3391.58.csv,3391.58,3253.076,3151.5393
amostra_0760_3239.20.csv,3239.2,3390.0476,3275.1526
amostra_0763_1724.07.csv,1724.07,1763.5096,1784.876
amostra_0775_3564.99.csv,3564.99,3698.2336,3552.015
amostra_0778_2683.67.csv,2683.67,2876.404,2809.817
