arquivo,real_kWh,previsto_kWh
amostra_2423_2526.70.csv,2526.7,2463.9043
amostra_2439_2900.33.csv,2900.33,2915.354
amostra_2441_1412.54.csv,1412.54,1371.7538
amostra_2444_1998.82.csv,1998.82,1960.93
amostra_2446_2017.10.csv,2017.1,2099.327
amostra_2449_1929.63.csv,1929.63,1976.3894
amostra_2453_2835.06.csv,2835.06,2669.594
amostra_2455_1946.01.csv,1946.01,1886.8774
amostra_2464_1559.84.csv,1559.84,1505.7249
amostra_2468_2582.14.csv,2582.14,2503.2034
amostra_2470_2483.26.csv,2483.26,2406.4517
amostra_2472_1989.29.csv,1989.29,1902.7119
amostra_2479_2112.39.csv,2112.39,2038.678
amostra_2482_2115.07.csv,2115.07,2067.2969
amostra_2494_2259.75.csv,2259.75,2205.3313
amostra_2503_1193.68.csv,1193.68,1179.1655
amostra_2517_2685.05.csv,2685.05,2557.1943
amostra_2521_3399.92.csv,3399.92,3387.169
amostra_2522_3230.65.csv,3230.65,3195.8037
amostra_2525_1785.06.csv,1785.06,1740.4757
amostra_2534_1549.97.csv,1549.97,1524.7976
amostra_2536_1800.38.csv,1800.38,1753.1094
amostra_2547_3758.92.csv,3758.92,3669.232
amostra_2548_1479.13.csv,1479.13,1537.1521
amostra_2555_3202.35.csv,3202.35,3154.219
amostra_2558_2507.84.csv,2507.84,2512.8303
amostra_2563_1423.35.csv,1423.35,1502.902
amostra_2569_2164.82.csv,2164.82,2128.9978
amostra_2572_2148.13.csv,2148.13,2073.341
amostra_2574_1803.00.csv,1803.0,1872.5178
amostra_2587_2115.94.csv,2115.94,2017.5203
amostra_2589_3859.74.csv,3859.74,3715.7537
amostra_2591_3916.68.csv,3916.68,3886.332
amostra_2596_1757.03.csv,1757.03,1787.6191
amostra_2606_3363.29.csv,3363.29,3229.909
amostra_2608_4434.93.csv,4434.93,4397.7153
amostra_2613_1444.45.csv,1444.45,1460.3914
amostra_2620_2063.37.csv,2063.37,2043.8177
amostra_2622_3957.91.csv,3957.91,3804.713
amostra_2628_3378.36.csv,3378.36,3287.4028
amostra_2633_2222.69.csv,2222.69,2244.7246
amostra_2634_2462.42.csv,2462.42,2471.3987
amostra_2643_2712.22.csv,2712.22,2691.7283
amostra_2650_2176.91.csv,2176.91,2180.412
amostra_2656_2779.05.csv,2779.05,2813.734
amostra_2659_2440.21.csv,2440.21,2520.7925
amostra_2661_1294.43.csv,1294.43,1293.9923
amostra_2662_1464.23.csv,1464.23,1482.2023
amostra_2672_1844.89.csv,1844.89,1847.9082
amostra_2680_2441.15.csv,2441.15,2394.7922
amostra_2682_2493.40.csv,2493.4,2502.3909
amostra_2697_2694.46.csv,2694.46,2620.1736
amostra_2700_2112.60.csv,2112.6,2044.6028
amostra_2703_2052.74.csv,2052.74,2067.0781
amostra_2704_892.18.csv,892.18,923.4044
amostra_2714_2825.55.csv,2825.55,2755.4617
amostra_2725_3081.21.csv,3081.21,3092.1326
