arquivo,real_kWh,previsto_kWh
amostra_1448_1259.51.csv,1259.51,1214.9607
amostra_1473_2396.15.csv,2396.15,2414.3298
amostra_1474_2150.10.csv,2150.1,2311.0667
amostra_1482_2062.88.csv,2062.88,2217.4404
amostra_1489_2814.15.csv,2814.15,3032.4753
amostra_1500_3109.14.csv,3109.14,3218.1064
amostra_1508_2777.11.csv,2777.11,2855.813
amostra_1520_2622.67.csv,2622.67,2723.7505
amostra_1525_3159.97.csv,3159.97,3062.2185
amostra_1532_2223.95.csv,2223.95,2290.0361
amostra_1545_2129.60.csv,2129.6,2262.8057
amostra_1551_3083.68.csv,3083.68,3197.52
amostra_1561_1323.35.csv,1323.35,1395.4229
amostra_1566_2769.13.csv,2769.13,2731.5588
amostra_1571_1354.33.csv,1354.33,1316.8033
amostra_1572_3161.48.csv,3161.48,3155.0752
amostra_1573_1684.04.csv,1684.04,1636.602
amostra_1574_2089.21.csv,2089.21,2223.699
amostra_1580_1819.29.csv,1819.29,2055.5828
amostra_1581_3021.42.csv,3021.42,3048.833
amostra_1587_2349.70.csv,2349.7,2506.6953
amostra_1592_2971.58.csv,2971.58,3059.2915
amostra_1598_2434.44.csv,2434.44,2594.3386
amostra_1601_1190.31.csv,1190.31,1341.5342
amostra_1604_2623.33.csv,2623.33,2557.8389
amostra_1607_3157.41.csv,3157.41,3323.0112
amostra_1612_2408.77.csv,2408.77,2401.4688
amostra_1617_2174.71.csv,2174.71,2358.8494
amostra_1620_1636.98.csv,1636.98,1724.3643
amostra_1622_2135.48.csv,2135.48,2065.7666
amostra_1627_2574.51.csv,2574.51,2589.4792
amostra_1633_2233.30.csv,2233.3,2488.244
amostra_1639_2375.25.csv,2375.25,2417.1858
amostra_1642_2904.72.csv,2904.72,2954.6511
amostra_1646_2192.80.csv,2192.8,2146.4438
amostra_1656_2141.66.csv,2141.66,2303.3562
amostra_1658_3235.27.csv,3235.27,3325.1462
amostra_1673_2736.62.csv,2736.62,2849.2485
amostra_1688_2127.31.csv,2127.31,2246.055
amostra_1690_2805.25.csv,2805.25,3069.3428
amostra_1691_3474.59.csv,3474.59,3497.21
amostra_1697_3482.73.csv,3482.73,3522.0522
amostra_1700_3049.48.csv,3049.48,3105.3801
amostra_1705_3582.42.csv,3582.42,3761.88
amostra_1706_2549.24.csv,2549.24,2584.3542
amostra_1715_1372.31.csv,1372.31,1563.2747
amostra_1716_2724.14.csv,2724.14,2955.4968
amostra_1721_2815.36.csv,2815.36,3025.9138
amostra_1729_2529.83.csv,2529.83,2740.5427
amostra_1731_1631.07.csv,1631.07,1591.9557
amostra_1733_3015.77.csv,3015.77,2862.4556
amostra_1744_3278.53.csv,3278.53,3421.6726
amostra_1747_2542.28.csv,2542.28,2775.01
amostra_1753_1687.09.csv,1687.09,1722.6621
amostra_1759_3139.57.csv,3139.57,3145.4888
amostra_1760_1533.19.csv,1533.19,1595.3464
amostra_1767_1843.96.csv,1843.96,1956.3568
amostra_1768_2199.19.csv,2199.19,1996.3026
amostra_1780_1517.79.csv,1517.79,1778.1417
amostra_1783_1094.42.csv,1094.42,1122.6844
amostra_1796_2859.09.csv,2859.09,3070.8242
amostra_1801_1560.36.csv,1560.36,1844.8011
amostra_1802_1070.64.csv,1070.64,1140.3319
amostra_1805_1888.07.csv,1888.07,1962.4803
amostra_1825_2008.59.csv,2008.59,2252.448
amostra_1826_2008.63.csv,2008.63,2100.9365
amostra_1827_3392.84.csv,3392.84,3419.1921
amostra_1828_1472.67.csv,1472.67,1734.9215
amostra_1832_1610.42.csv,1610.42,1835.3779
amostra_1837_2881.53.csv,2881.53,3017.6868
amostra_1850_3941.27.csv,3941.27,3995.062
amostra_1862_1957.93.csv,1957.93,2117.2947
amostra_1866_1236.61.csv,1236.61,1368.1611
amostra_1878_2418.91.csv,2418.91,2529.3098
amostra_1884_1602.94.csv,1602.94,1702.6349
amostra_1897_3370.35.csv,3370.35,3282.4912
amostra_1899_2422.12.csv,2422.12,2462.1848
amostra_1903_1994.39.csv,1994.39,2121.789
amostra_1907_2544.06.csv,2544.06,2544.7974
